name,source,week,score
86 (2021),anidb,2,7.45
Ousama Ranking,anidb,2,7.21
Mushoku Tensei: Isekai Ittara Honki Dasu (2021),anidb,2,7.19
Heike Monogatari,anidb,2,7.18
Senpai ga Uzai Kouhai no Hanashi,anidb,2,7.12
"Komi-san wa, Komyushou Desu.",anidb,2,7.02
Saihate no Paladin,anidb,2,7.0
Lupin Sansei: Part 6,anidb,2,6.96
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei Suru",anidb,2,6.91
Isekai Shokudou 2,anidb,2,6.81
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,MAL,2,8.62
86 Part 2,MAL,2,8.62
Kimetsu no Yaiba: Mugen Ressha-hen,MAL,2,8.59
"Komi-san wa, Comyushou desu.",MAL,2,8.54
Ousama Ranking,MAL,2,8.23
Takt Op. Destiny,MAL,2,8.15
World Trigger 3rd Season,MAL,2,8.06
Blue Period,MAL,2,7.82
Senpai ga Uzai Kouhai no Hanashi,MAL,2,7.77
Heike Monogatari,MAL,2,7.7
86 (2021),anidb,3,7.63
Ousama Ranking,anidb,3,7.60
Mushoku Tensei: Isekai Ittara Honki Dasu (2021),anidb,3,7.33
Heike Monogatari,anidb,3,7.25
Kimetsu no Yaiba: Mugen Ressha Hen,anidb,3,7.19
"Komi-san wa, Komyushou Desu.",anidb,3,7.14
Lupin Sansei: Part 6,anidb,3,7.13
World Trigger 3rd Season,anidb,3,7.10
Senpai ga Uzai Kouhai no Hanashi,anidb,3,7.02
Saihate no Paladin,anidb,3,6.86
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,MAL,3,8.61
86 Part 2,MAL,3,8.61
Ousama Ranking,MAL,3,8.55
Kimetsu no Yaiba: Mugen Ressha-hen,MAL,3,8.53
"Komi-san wa, Comyushou desu.",MAL,3,8.50
Takt Op. Destiny,MAL,3,8.10
World Trigger 3rd Season,MAL,3,8.08
Senpai ga Uzai Kouhai no Hanashi,MAL,3,7.81
Blue Period,MAL,3,7.78
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",MAL,3,7.68
